category,total_packages,earliest_period,latest_period,peak_period,peak_count,periods_active
String_Obfuscation,485,2021,early2020,2024-2025,142,5
Encoding_Obfuscation,349,2021,early2020,2021,136,5
Silent_Error_Handling,339,2021,early2020,2022,109,5
Code_Structure_Obfuscation,304,2021,early2020,2022,103,5
Hook_Abuse,303,2021,early2020,2024-2025,150,5
Stealth_Execution,227,2021,early2020,2022,67,5
Module_Abuse,159,2021,early2020,2024-2025,63,5
Network_Communication_Hiding,136,2021,early2020,2023,49,5
Environment_Detection,101,2021,early2020,2021,31,5
Anti_Analysis,54,2021,early2020,2022,29,5
Trace_Cleanup,28,2021,2024-2025,2023,21,3
Runtime_Caching,4,2021,early2020,2021,2,3
Typosquatting,4,2023,early2020,early2020,3,2
Dependency_Confusion,2,2024-2025,2024-2025,2024-2025,2,1
